IP,timestamp,HTTP_method,request_path,status_code,content_length
192.168.1.3,2024-03-01 09:35:05,GET,/dashboard,500,2048
192.168.1.5,2024-03-01 20:58:28,PUT,/home,401,512
172.143.3.2,2024-03-01 05:59:37,DELETE,/settings,301,2048
192.168.1.3,2024-03-01 02:44:22,OPTIONS,/settings,500,512
172.143.3.2,2024-03-01 14:44:22,DELETE,/profile,301,128
192.168.1.2,2024-03-01 11:37:08,POST,/dashboard,201,1024
192.168.1.2,2024-03-01 06:09:39,POST,/profile,403,4096
172.24.1.1,2024-03-01 03:29:00,PUT,/api/user,404,512
192.168.1.2,2024-03-01 06:37:15,GET,/home,404,512
192.168.1.4,2024-03-01 08:35:05,GET,/home,200,512
192.168.1.3,2024-03-01 21:04:42,POST,/dashboard,200,128
172.24.1.1,2024-03-01 23:25:56,OPTIONS,/api/user,201,1024
192.168.1.1,2024-03-01 15:58:36,PATCH,/admin,201,512
192.168.1.2,2024-03-01 11:42:20,POST,/dashboard,401,2048
192.168.1.2,2024-03-01 00:26:57,PUT,/admin,201,4096
192.168.1.5,2024-03-01 19:38:16,DELETE,/logout,404,512
172.24.1.1,2024-03-01 05:23:02,GET,/dashboard,401,4096
192.168.1.5,2024-03-01 15:17:48,OPTIONS,/home,500,4096
192.168.1.4,2024-03-01 06:24:02,HEAD,/api/user,200,128
192.168.1.5,2024-03-01 15:45:24,HEAD,/api/user,301,2048
192.168.1.5,2024-03-01 19:02:40,DELETE,/admin,500,2048
192.168.1.2,2024-03-01 20:51:29,DELETE,/login,500,256
192.168.1.3,2024-03-01 17:43:13,PUT,/profile,403,2048
192.168.1.5,2024-03-01 21:35:06,PATCH,/dashboard,200,512
192.168.1.2,2024-03-01 07:49:27,PUT,/admin,201,512
172.143.3.2,2024-03-01 08:14:45,PATCH,/dashboard,201,1024
192.168.1.1,2024-03-01 19:57:28,POST,/api/user,401,256
172.143.3.2,2024-03-01 18:44:14,PATCH,/logout,401,512
192.168.1.3,2024-03-01 10:28:07,PATCH,/dashboard,401,1024
192.168.1.3,2024-03-01 21:35:06,DELETE,/login,404,512
192.168.1.3,2024-03-01 11:14:44,HEAD,/home,500,256
172.24.1.1,2024-03-01 14:28:58,PUT,/dashboard,200,4096
192.168.1.5,2024-03-01 10:12:42,HEAD,/settings,404,256
192.168.1.2,2024-03-01 09:59:29,OPTIONS,/api/data,201,1024
192.168.1.4,2024-03-01 23:41:19,HEAD,/logout,404,256
192.168.1.2,2024-03-01 19:21:51,DELETE,/profile,403,512
192.168.1.3,2024-03-01 00:54:33,HEAD,/api/user,404,4096
172.24.1.1,2024-03-01 16:34:12,OPTIONS,/dashboard,301,4096
192.168.1.5,2024-03-01 23:50:20,PATCH,/logout,500,4096
192.168.1.1,2024-03-01 15:06:36,OPTIONS,/settings,403,256
192.168.1.3,2024-03-01 01:51:21,OPTIONS,/profile,200,256
172.24.1.1,2024-03-01 10:04:42,OPTIONS,/logout,401,4096
192.168.1.5,2024-03-01 06:45:15,PUT,/api/data,301,512
172.143.3.2,2024-03-01 02:21:59,OPTIONS,/dashboard,404,128
192.168.1.5,2024-03-01 06:48:26,PUT,/login,301,256
192.168.1.3,2024-03-01 04:42:13,POST,/dashboard,201,4096
192.168.1.5,2024-03-01 17:31:01,DELETE,/home,403,4096
172.143.3.2,2024-03-01 16:46:24,OPTIONS,/logout,403,2048
192.168.1.4,2024-03-01 18:32:02,DELETE,/api/user,301,512
172.24.1.1,2024-03-01 08:02:40,OPTIONS,/api/data,403,4096
192.168.1.5,2024-03-01 03:41:12,POST,/api/data,401,128
192.168.1.3,2024-03-01 04:42:13,POST,/profile,301,2048
192.168.1.3,2024-03-01 07:37:15,POST,/admin,201,256
172.24.1.1,2024-03-01 20:47:17,DELETE,/dashboard,401,256
192.168.1.5,2024-03-01 22:17:55,HEAD,/admin,401,256
192.168.1.4,2024-03-01 17:31:02,PATCH,/login,201,4096
172.24.1.1,2024-03-01 08:34:04,PATCH,/login,200,512
172.24.1.1,2024-03-01 04:22:00,GET,/admin,404,4096
192.168.1.4,2024-03-01 10:01:31,DELETE,/profile,301,512
172.24.1.1,2024-03-01 08:03:41,GET,/api/user,404,128
192.168.1.4,2024-03-01 04:07:37,GET,/api/data,401,2048
192.168.1.2,2024-03-01 08:26:04,GET,/api/data,403,512
192.168.1.5,2024-03-01 12:14:44,POST,/login,201,128
192.168.1.3,2024-03-01 17:19:49,HEAD,/api/data,301,4096
172.24.1.1,2024-03-01 08:58:29,PUT,/settings,201,256
172.24.1.1,2024-03-01 19:57:28,HEAD,/logout,500,512
192.168.1.4,2024-03-01 14:28:58,HEAD,/home,401,2048
172.143.3.2,2024-03-01 18:01:39,HEAD,/profile,403,1024
192.168.1.1,2024-03-01 19:45:15,HEAD,/settings,200,256
172.24.1.1,2024-03-01 09:11:41,PUT,/settings,201,512
192.168.1.2,2024-03-01 16:18:49,DELETE,/settings,200,2048
172.143.3.2,2024-03-01 01:55:34,PATCH,/api/user,401,4096
192.168.1.1,2024-03-01 22:04:43,GET,/login,500,128
192.168.1.4,2024-03-01 06:44:15,POST,/profile,500,4096
172.24.1.1,2024-03-01 02:40:11,PATCH,/settings,201,256
172.143.3.2,2024-03-01 18:01:39,POST,/login,403,4096
192.168.1.4,2024-03-01 02:44:22,OPTIONS,/api/user,500,1024
192.168.1.4,2024-03-01 15:17:47,PUT,/logout,401,2048
192.168.1.3,2024-03-01 23:29:07,OPTIONS,/home,201,4096
192.168.1.1,2024-03-01 00:06:44,GET,/home,301,256
172.143.3.2,2024-03-01 00:06:44,DELETE,/logout,403,512
192.168.1.1,2024-03-01 10:16:54,DELETE,/home,500,256
192.168.1.2,2024-03-01 09:03:42,PUT,/api/user,403,256
172.143.3.2,2024-03-01 04:18:49,HEAD,/home,404,256
192.168.1.1,2024-03-01 22:37:07,HEAD,/profile,200,128
192.168.1.2,2024-03-01 20:23:53,DELETE,/api/data,401,4096
192.168.1.5,2024-03-01 07:22:52,PUT,/api/data,404,2048
192.168.1.2,2024-03-01 15:09:47,POST,/login,201,512
192.168.1.4,2024-03-01 23:05:44,GET,/logout,401,512
192.168.1.2,2024-03-01 07:37:15,POST,/admin,301,4096
192.168.1.1,2024-03-01 16:10:49,OPTIONS,/admin,301,256
192.168.1.5,2024-03-01 16:58:28,PATCH,/admin,301,512
172.24.1.1,2024-03-01 01:07:45,PUT,/api/user,403,2048
192.168.1.4,2024-03-01 08:51:29,PUT,/api/data,404,2048
192.168.1.2,2024-03-01 21:48:18,PATCH,/api/data,404,1024
172.143.3.2,2024-03-01 20:58:28,POST,/home,403,4096
192.168.1.4,2024-03-01 19:10:40,HEAD,/logout,403,512
172.24.1.1,2024-03-01 02:45:23,PATCH,/dashboard,403,4096
192.168.1.3,2024-03-01 01:43:21,HEAD,/admin,200,256
192.168.1.4,2024-03-01 09:27:05,DELETE,/home,403,4096
172.143.3.2,2024-03-01 21:35:06,HEAD,/home,500,4096
172.24.1.1,2024-03-01 22:24:54,HEAD,/profile,403,2048
192.168.1.3,2024-03-01 16:34:12,OPTIONS,/logout,401,256
172.143.3.2,2024-03-01 09:03:41,HEAD,/settings,301,2048
192.168.1.4,2024-03-01 06:48:27,DELETE,/home,500,128
192.168.1.3,2024-03-01 13:52:22,OPTIONS,/api/data,404,2048
172.143.3.2,2024-03-01 00:26:57,PATCH,/api/user,401,512
192.168.1.1,2024-03-01 15:45:24,PATCH,/logout,500,512
172.24.1.1,2024-03-01 12:18:57,DELETE,/settings,201,4096
192.168.1.1,2024-03-01 12:18:56,GET,/logout,200,1024
192.168.1.1,2024-03-01 10:05:43,GET,/dashboard,301,1024
192.168.1.2,2024-03-01 20:34:04,PUT,/settings,404,256
192.168.1.2,2024-03-01 06:20:51,POST,/home,404,512
192.168.1.5,2024-03-01 21:39:17,PATCH,/api/data,200,128
192.168.1.4,2024-03-01 15:54:24,GET,/api/user,500,512
192.168.1.4,2024-03-01 07:45:15,OPTIONS,/admin,403,512
192.168.1.2,2024-03-01 02:32:10,POST,/admin,403,1024
192.168.1.3,2024-03-01 20:23:53,POST,/login,403,128
172.143.3.2,2024-03-01 12:38:09,PUT,/dashboard,401,256
192.168.1.1,2024-03-01 14:44:23,HEAD,/login,301,256
172.143.3.2,2024-03-01 22:36:06,GET,/api/data,500,4096
192.168.1.5,2024-03-01 17:23:54,POST,/profile,500,512
192.168.1.4,2024-03-01 12:51:21,GET,/api/data,200,1024
192.168.1.2,2024-03-01 16:22:00,GET,/admin,500,2048
172.143.3.2,2024-03-01 07:25:03,OPTIONS,/logout,200,1024
192.168.1.2,2024-03-01 15:46:16,POST,/dashboard,201,512
192.168.1.1,2024-03-01 17:31:01,HEAD,/home,403,256
192.168.1.1,2024-03-01 14:21:59,DELETE,/logout,200,128
192.168.1.1,2024-03-01 19:14:52,POST,/admin,201,512
192.168.1.3,2024-03-01 15:57:36,HEAD,/logout,301,128
172.24.1.1,2024-03-01 00:19:57,PATCH,/login,200,1024
192.168.1.2,2024-03-01 22:04:42,OPTIONS,/settings,200,256
192.168.1.1,2024-03-01 16:42:12,PATCH,/api/user,500,2048
192.168.1.5,2024-03-01 07:21:52,POST,/api/user,500,4096
192.168.1.5,2024-03-01 07:37:16,GET,/settings,404,4096
192.168.1.3,2024-03-01 06:48:27,OPTIONS,/settings,403,4096
192.168.1.2,2024-03-01 17:56:26,PUT,/settings,403,2048
172.24.1.1,2024-03-01 00:50:21,PATCH,/profile,301,512
192.168.1.4,2024-03-01 16:43:13,GET,/settings,404,1024
172.143.3.2,2024-03-01 08:23:53,OPTIONS,/profile,200,512
192.168.1.4,2024-03-01 12:18:57,PUT,/login,403,128
192.168.1.2,2024-03-01 19:09:39,OPTIONS,/api/user,200,128
192.168.1.2,2024-03-01 11:54:32,HEAD,/settings,200,1024
192.168.1.1,2024-03-01 19:57:28,PATCH,/admin,403,1024
192.168.1.1,2024-03-01 14:28:58,POST,/login,401,512
192.168.1.1,2024-03-01 17:35:14,DELETE,/api/data,200,128
192.168.1.2,2024-03-01 06:01:39,POST,/api/data,403,512
192.168.1.2,2024-03-01 04:10:49,GET,/api/user,403,2048
192.168.1.2,2024-03-01 17:59:38,POST,/settings,201,512
192.168.1.4,2024-03-01 13:03:33,OPTIONS,/profile,401,2048
192.168.1.5,2024-03-01 12:54:33,HEAD,/dashboard,404,2048
192.168.1.5,2024-03-01 15:34:12,POST,/admin,200,128
192.168.1.2,2024-03-01 11:30:08,PUT,/dashboard,403,2048
172.24.1.1,2024-03-01 02:41:11,PATCH,/logout,200,1024
192.168.1.5,2024-03-01 23:41:20,DELETE,/api/data,201,128
192.168.1.5,2024-03-01 16:43:13,GET,/profile,500,4096
192.168.1.1,2024-03-01 23:05:44,PUT,/admin,401,2048
172.143.3.2,2024-03-01 04:55:25,PATCH,/home,500,256
192.168.1.1,2024-03-01 21:52:30,POST,/login,200,2048
172.24.1.1,2024-03-01 09:47:17,POST,/home,404,1024
192.168.1.5,2024-03-01 00:39:09,DELETE,/logout,301,4096
192.168.1.3,2024-03-01 09:47:18,DELETE,/dashboard,401,1024
192.168.1.1,2024-03-01 20:39:17,POST,/profile,200,512
192.168.1.5,2024-03-01 01:52:22,DELETE,/admin,500,4096
192.168.1.3,2024-03-01 10:28:06,OPTIONS,/settings,301,512
172.143.3.2,2024-03-01 04:35:13,POST,/api/data,200,1024
172.24.1.1,2024-03-01 22:12:43,PUT,/profile,301,2048
192.168.1.4,2024-03-01 17:31:02,GET,/settings,404,4096
192.168.1.1,2024-03-01 15:22:00,HEAD,/profile,404,128
172.143.3.2,2024-03-01 22:24:55,PUT,/admin,200,4096
192.168.1.4,2024-03-01 19:50:28,HEAD,/settings,404,2048
192.168.1.3,2024-03-01 07:37:15,PATCH,/api/data,401,512
192.168.1.3,2024-03-01 10:13:43,PUT,/api/data,403,512
172.24.1.1,2024-03-01 04:46:24,HEAD,/api/user,500,256
192.168.1.4,2024-03-01 18:32:02,DELETE,/profile,404,512
172.143.3.2,2024-03-01 06:36:15,GET,/profile,301,2048
192.168.1.4,2024-03-01 22:17:55,PATCH,/api/user,401,128
192.168.1.5,2024-03-01 22:13:43,PUT,/dashboard,403,256
192.168.1.3,2024-03-01 05:32:02,PUT,/home,403,2048
192.168.1.2,2024-03-01 20:02:41,POST,/logout,201,128
172.24.1.1,2024-03-01 21:35:05,OPTIONS,/admin,404,4096
192.168.1.1,2024-03-01 13:20:58,POST,/api/data,401,1024
192.168.1.3,2024-03-01 00:14:44,DELETE,/home,401,128
192.168.1.2,2024-03-01 18:08:39,PATCH,/login,403,128
192.168.1.5,2024-03-01 16:54:24,PUT,/login,301,4096
192.168.1.2,2024-03-01 11:13:43,PUT,/dashboard,403,256
172.143.3.2,2024-03-01 08:50:29,POST,/settings,404,128
192.168.1.3,2024-03-01 10:16:54,POST,/home,404,512
192.168.1.5,2024-03-01 17:43:14,PATCH,/home,404,512
172.24.1.1,2024-03-01 16:34:12,HEAD,/logout,404,4096
172.24.1.1,2024-03-01 03:34:12,GET,/dashboard,200,2048
192.168.1.4,2024-03-01 19:21:51,POST,/profile,404,1024
192.168.1.4,2024-03-01 10:41:19,PUT,/logout,403,2048
172.143.3.2,2024-03-01 08:10:41,OPTIONS,/logout,403,128
192.168.1.1,2024-03-01 21:11:41,HEAD,/dashboard,301,512
192.168.1.3,2024-03-01 20:46:16,GET,/profile,403,4096
192.168.1.1,2024-03-01 20:58:29,POST,/settings,200,2048
192.168.1.1,2024-03-01 06:32:03,HEAD,/settings,301,128
192.168.1.1,2024-03-01 04:54:25,GET,/profile,403,128
192.168.1.3,2024-03-01 10:40:18,PUT,/dashboard,201,4096
192.168.1.3,2024-03-01 00:03:33,PATCH,/logout,301,1024
192.168.1.4,2024-03-01 23:18:56,HEAD,/dashboard,500,256
192.168.1.3,2024-03-01 01:27:57,POST,/dashboard,301,256
192.168.1.2,2024-03-01 01:40:10,POST,/dashboard,500,512
192.168.1.2,2024-03-01 22:37:07,GET,/api/data,500,2048
192.168.1.2,2024-03-01 23:02:32,HEAD,/settings,201,4096
192.168.1.2,2024-03-01 05:20:50,POST,/logout,200,1024
192.168.1.5,2024-03-01 05:59:37,OPTIONS,/profile,404,4096
172.143.3.2,2024-03-01 16:10:48,POST,/login,500,4096
192.168.1.3,2024-03-01 13:07:46,DELETE,/dashboard,403,128
192.168.1.3,2024-03-01 13:15:46,PATCH,/dashboard,403,256
192.168.1.4,2024-03-01 07:01:39,DELETE,/profile,200,2048
172.143.3.2,2024-03-01 12:18:56,OPTIONS,/login,500,1024
192.168.1.1,2024-03-01 14:56:35,OPTIONS,/dashboard,404,256
192.168.1.2,2024-03-01 23:01:31,DELETE,/dashboard,301,2048
172.24.1.1,2024-03-01 06:09:39,PUT,/settings,403,256
192.168.1.2,2024-03-01 11:02:32,DELETE,/home,404,4096
172.143.3.2,2024-03-01 02:21:59,PUT,/login,200,4096
192.168.1.2,2024-03-01 08:14:52,POST,/api/data,403,1024
192.168.1.3,2024-03-01 04:54:25,HEAD,/settings,404,512
192.168.1.2,2024-03-01 21:11:42,PATCH,/dashboard,404,4096
192.168.1.1,2024-03-01 09:04:42,OPTIONS,/settings,403,1024
192.168.1.1,2024-03-01 03:57:35,GET,/logout,403,2048
192.168.1.4,2024-03-01 12:30:01,HEAD,/home,500,256
192.168.1.2,2024-03-01 09:36:06,HEAD,/api/user,201,1024
172.143.3.2,2024-03-01 20:39:17,DELETE,/api/user,404,512
192.168.1.4,2024-03-01 10:12:42,DELETE,/home,401,256
172.24.1.1,2024-03-01 05:55:25,DELETE,/dashboard,404,4096
192.168.1.1,2024-03-01 22:25:55,GET,/admin,201,1024
192.168.1.2,2024-03-01 04:06:37,HEAD,/profile,401,512
192.168.1.4,2024-03-01 10:36:06,PUT,/logout,301,256
172.24.1.1,2024-03-01 08:14:52,DELETE,/login,401,512
192.168.1.1,2024-03-01 20:58:29,HEAD,/home,403,2048
192.168.1.4,2024-03-01 11:50:20,GET,/admin,404,128
172.143.3.2,2024-03-01 08:39:17,HEAD,/settings,500,2048
192.168.1.2,2024-03-01 01:39:09,OPTIONS,/home,200,256
192.168.1.3,2024-03-01 16:55:25,GET,/api/data,404,1024
192.168.1.3,2024-03-01 05:19:49,HEAD,/home,301,128
172.143.3.2,2024-03-01 07:45:15,PUT,/logout,401,128
192.168.1.3,2024-03-01 15:42:12,POST,/api/user,301,2048
192.168.1.4,2024-03-01 10:52:31,GET,/api/user,200,2048
172.143.3.2,2024-03-01 13:55:33,PUT,/home,404,256
192.168.1.3,2024-03-01 13:04:34,POST,/api/data,401,1024
172.24.1.1,2024-03-01 20:59:29,PATCH,/api/user,500,1024
192.168.1.2,2024-03-01 15:57:36,POST,/profile,404,4096
172.143.3.2,2024-03-01 15:17:48,DELETE,/api/user,403,512
192.168.1.4,2024-03-01 01:03:33,PATCH,/api/data,500,128
172.143.3.2,2024-03-01 21:23:53,POST,/logout,404,2048
192.168.1.3,2024-03-01 22:40:18,PUT,/login,301,256
172.143.3.2,2024-03-01 17:32:02,OPTIONS,/logout,401,256
192.168.1.5,2024-03-01 06:36:14,PATCH,/api/data,500,128
192.168.1.2,2024-03-01 15:17:47,HEAD,/settings,301,2048
192.168.1.4,2024-03-01 19:01:40,GET,/api/data,404,128
172.24.1.1,2024-03-01 17:59:38,PUT,/profile,401,512
172.143.3.2,2024-03-01 04:22:00,OPTIONS,/dashboard,404,2048
192.168.1.1,2024-03-01 06:08:38,PUT,/dashboard,200,1024
192.168.1.3,2024-03-01 21:27:06,DELETE,/profile,200,2048
192.168.1.3,2024-03-01 06:36:14,DELETE,/api/user,403,128
192.168.1.4,2024-03-01 19:01:40,POST,/login,403,2048
192.168.1.1,2024-03-01 04:47:17,GET,/settings,403,4096
172.143.3.2,2024-03-01 01:31:09,PUT,/settings,403,4096
192.168.1.5,2024-03-01 14:56:35,PUT,/login,301,1024
192.168.1.1,2024-03-01 15:45:23,OPTIONS,/api/data,404,1024
172.143.3.2,2024-03-01 12:06:44,PUT,/dashboard,301,1024
172.143.3.2,2024-03-01 19:37:16,DELETE,/api/user,500,256
192.168.1.3,2024-03-01 19:49:28,POST,/admin,301,256
192.168.1.2,2024-03-01 03:57:35,GET,/profile,301,1024
192.168.1.4,2024-03-01 13:03:34,GET,/api/user,404,1024
192.168.1.2,2024-03-01 08:38:17,PATCH,/profile,200,256
192.168.1.1,2024-03-01 05:43:13,OPTIONS,/api/data,401,512
192.168.1.5,2024-03-01 13:08:46,PUT,/logout,403,4096
192.168.1.3,2024-03-01 06:20:50,PUT,/profile,301,1024
192.168.1.5,2024-03-01 13:28:58,PATCH,/profile,201,512
172.24.1.1,2024-03-01 22:40:18,PUT,/api/user,200,4096
192.168.1.2,2024-03-01 06:44:14,HEAD,/api/data,401,512
172.143.3.2,2024-03-01 04:35:13,PATCH,/home,403,256
192.168.1.1,2024-03-01 14:28:59,PUT,/settings,403,512
192.168.1.2,2024-03-01 16:18:49,POST,/api/user,301,256
192.168.1.3,2024-03-01 23:53:31,GET,/api/data,301,2048
192.168.1.3,2024-03-01 12:03:33,PUT,/login,404,256
172.143.3.2,2024-03-01 07:13:52,PUT,/profile,500,256
192.168.1.5,2024-03-01 15:18:48,HEAD,/profile,401,128
192.168.1.2,2024-03-01 02:52:23,POST,/api/user,201,512
192.168.1.4,2024-03-01 18:25:03,DELETE,/dashboard,200,1024
192.168.1.3,2024-03-01 19:09:39,DELETE,/login,403,512
172.143.3.2,2024-03-01 23:53:32,POST,/home,401,512
172.143.3.2,2024-03-01 22:17:55,OPTIONS,/dashboard,404,256
192.168.1.2,2024-03-01 07:57:27,OPTIONS,/dashboard,201,2048
192.168.1.5,2024-03-01 14:28:59,DELETE,/api/user,403,2048
192.168.1.2,2024-03-01 20:03:41,PATCH,/home,404,128
192.168.1.2,2024-03-01 09:03:41,PUT,/settings,201,128
172.143.3.2,2024-03-01 11:53:31,OPTIONS,/login,500,128
172.143.3.2,2024-03-01 11:49:19,HEAD,/home,201,2048
192.168.1.3,2024-03-01 20:38:17,PATCH,/logout,301,512
192.168.1.1,2024-03-01 11:06:44,POST,/settings,200,256
192.168.1.5,2024-03-01 06:32:02,PATCH,/api/user,404,4096
192.168.1.3,2024-03-01 21:11:41,POST,/api/user,200,2048
192.168.1.5,2024-03-01 14:04:34,PATCH,/home,201,128
192.168.1.1,2024-03-01 22:12:42,OPTIONS,/profile,500,512
192.168.1.3,2024-03-01 12:02:33,POST,/logout,403,1024
192.168.1.4,2024-03-01 12:31:09,DELETE,/dashboard,201,128
192.168.1.5,2024-03-01 21:35:06,GET,/login,403,4096
192.168.1.1,2024-03-01 08:34:04,OPTIONS,/home,200,4096
192.168.1.2,2024-03-01 06:32:02,DELETE,/admin,301,512
192.168.1.5,2024-03-01 00:06:37,OPTIONS,/admin,401,512
192.168.1.2,2024-03-01 06:57:27,POST,/logout,201,4096
192.168.1.2,2024-03-01 13:31:10,PATCH,/login,201,128
192.168.1.2,2024-03-01 21:52:30,DELETE,/settings,500,128
192.168.1.5,2024-03-01 23:50:20,GET,/admin,500,2048
192.168.1.4,2024-03-01 08:22:52,HEAD,/settings,401,128
172.143.3.2,2024-03-01 22:48:19,POST,/api/user,301,512
172.143.3.2,2024-03-01 20:51:29,DELETE,/api/user,401,2048
192.168.1.5,2024-03-01 14:56:34,PATCH,/api/user,301,2048
192.168.1.3,2024-03-01 11:41:20,PATCH,/settings,401,512
172.24.1.1,2024-03-01 19:02:40,PATCH,/login,401,4096
192.168.1.2,2024-03-01 21:15:53,HEAD,/admin,403,512
192.168.1.5,2024-03-01 11:17:55,OPTIONS,/logout,401,1024
192.168.1.2,2024-03-01 09:36:06,POST,/admin,200,256
192.168.1.1,2024-03-01 16:23:01,OPTIONS,/profile,401,1024
192.168.1.1,2024-03-01 06:36:14,PUT,/dashboard,200,512
192.168.1.3,2024-03-01 10:24:55,PUT,/admin,301,512
172.143.3.2,2024-03-01 22:13:43,PATCH,/api/user,301,4096
192.168.1.1,2024-03-01 17:00:38,PUT,/dashboard,404,1024
192.168.1.4,2024-03-01 14:45:15,DELETE,/dashboard,301,128
192.168.1.5,2024-03-01 19:13:52,HEAD,/api/user,200,256
